Year,date,week,headcount,paid count,,cash taken,class time,venue,event,social
2018,04/10/18,,173,95,,370.5,5.30pm,Sugden,,
2018,09/10/18,3,116,66,,257.4,6.30pm,Sugden,,
2018,11/10/18,,110,81,,315.9,5.30pm,Sugden,,
2018,16/10/18,4,104,91,,354.9,6.30pm,Sugden,,
2018,18/10/18,,103,86,,335.4,5.30pm,Sugden,,
2018,23/10/18,5,86,66,,257.4,6.30pm,Sugden,,
2018,25/10/18,,86,70,,273,5.30pm,Sugden,,
2018,30/10/18,6,60,48,,187.2,6.30pm,Sugden,,
2018,01/11/18,,42,29,,113.1,5.30pm,Sugden,,
2018,06/11/18,7,92,72,,280.8,6.30pm,Sugden,,
2018,08/11/18,,97,70,,273,5.30pm,Sugden,,
2018,13/11/18,8,79,58,,226.2,6.30pm,Sugden,,
2018,15/11/18,,95,72,,280.8,5.30pm,Sugden,,
2018,20/11/18,9,82,69,,269.1,6.30pm,Sugden,,
2018,22/11/18,,71,51,,198.9,5.30pm,Sugden,,
2018,27/11/18,10,70,50,,195,6.30pm,Sugden,,
2018,29/11/18,,74,50,,195,5.30pm,Sugden,,
2018,04/12/18,11,64,52,,202.8,6.30pm,Sugden,,
2018,06/12/18,,14,7,,27.3,5.30pm,Sugden,,
2018,11/12/18,12,32,25,,97.5,6.30pm,Sugden,Grading,
2018,13/12/18,,29,21,,81.9,5.30pm,Sugden,Grading,
2018,08/01/19,13,21,21,,81.9,6.30pm,Sugden,First Class,
2018,10/01/19,,19,26,,101.4,5.30pm,Sugden,,
2018,15/01/19,14,17,10,,39,6.30pm,Sugden,,
2018,17/01/19,,0,0,,0,5.30pm,Sugden,No Class,
2019,22/01/19,15,22,20,,78,6.30pm,Sugden,,
2019,24/01/19,,0,0,,0,5.30pm,Sugden,No Class,
2019,29/01/19,16,50,46,,179.4,6.30pm,Sugden,,
2019,31/01/19,,67,39,,152.1,5.30pm,Sugden,,
2019,05/02/19,17,57,54,,210.6,6.30pm,Sugden,,
2019,07/02/19,,71,31,,120.9,5.30pm,Sugden,,
2019,12/02/19,18,50,39,,152.1,6.30pm,Sugden,,
2019,14/02/19,,44,30,,117,5.30pm,Sugden,,
2019,19/02/19,19,56,46,,179.4,6.30pm,Sugden,,
2019,21/02/19,,60,43,,167.7,5.30pm,Sugden,,
2019,26/02/10,20,51,40,,156,6.30pm,Sugden,,
2019,28/02/19,,53,39,,152.1,5.30pm,Sugden,,
2019,05/03/19,21,52,38,,148.2,6.30pm,Sugden,,
2019,07/03/19,,49,29,,113.1,5.30pm,Sugden,,
2019,12/03/19,22,60,51,,198.9,6.30pm,Sugden,,
2019,14/03/19,,53,41,,159.9,5.30pm,Sugden,,
2019,19/03/19,23,49,34,,132.6,6.30pm,Sugden,,
2019,21/03/19,,41,35,,136.5,5.30pm,Sugden,,
