AcademicYear,Date,Week,HeadCount,PaidCount,CashTaken,ClassTime,Venue,Event,Social
2017,31/05/18,28,36,4,15.6,7pm,Sugden,,
2017,05/06/18,29,23,7,27.3,6pm,Sugden,,
2017,07/06/18,29,17,17,66.3,7pm,Sugden,,
2018,25/09/18,1,230,0,0,6.30pm,Sugden,First Class,
2018,27/09/18,1,240,0,0,5.30pm,Sugden,,
2018,02/10/18,2,139,128,499.2,6.30pm,Sugden,,
2018,04/10/18,2,173,95,370.5,5.30pm,Sugden,,
2018,09/10/18,3,116,66,257.4,6.30pm,Sugden,,
2018,11/10/18,3,110,81,315.9,5.30pm,Sugden,,
2018,16/10/18,4,104,91,354.9,6.30pm,Sugden,,
2018,18/10/18,4,103,86,335.4,5.30pm,Sugden,,
2018,23/10/18,5,86,66,257.4,6.30pm,Sugden,,
2018,25/10/18,5,86,70,273,5.30pm,Sugden,,
2018,30/10/18,6,60,48,187.2,6.30pm,Sugden,,
2018,01/11/18,6,42,29,113.1,5.30pm,Sugden,,
2018,06/11/18,7,92,72,280.8,6.30pm,Sugden,,
2018,08/11/18,7,97,70,273,5.30pm,Sugden,,
2018,13/11/18,8,79,58,226.2,6.30pm,Sugden,,
2018,15/11/18,8,95,72,280.8,5.30pm,Sugden,,
2018,20/11/18,9,82,69,269.1,6.30pm,Sugden,,
2018,22/11/18,9,71,51,198.9,5.30pm,Sugden,,
2018,27/11/18,10,70,50,195,6.30pm,Sugden,,
2018,29/11/18,10,74,50,195,5.30pm,Sugden,,
2018,04/12/18,11,64,52,202.8,6.30pm,Sugden,,
2018,06/12/18,11,14,7,27.3,5.30pm,Sugden,,
2018,11/12/18,12,32,25,97.5,6.30pm,Sugden,Grading,
2018,13/12/18,12,29,21,81.9,5.30pm,Sugden,Grading,
2018,08/01/19,13,21,21,81.9,6.30pm,Sugden,First Class,
2018,10/01/19,13,19,26,101.4,5.30pm,Sugden,,
2018,15/01/19,14,17,10,39,6.30pm,Sugden,,
2018,17/01/19,14,0,0,0,5.30pm,Sugden,No Class,
2018,22/01/19,15,22,20,78,6.30pm,Sugden,,
2018,24/01/19,15,0,0,0,5.30pm,Sugden,No Class,
2018,29/01/19,16,50,46,179.4,6.30pm,Sugden,,
2018,31/01/19,16,67,39,152.1,5.30pm,Sugden,,
2018,05/02/19,17,57,54,210.6,6.30pm,Sugden,,
